,0,1,2
119,A18219-0,SimOpt_extensive_2,0.9999999999999999
120,A18219-0,SimOpt_extensive_8,1.4596341932029877e-16
121,A18253-0,SimOpt_int_short_0,1.0
122,A18256-0,SimOpt_extensive_18,1.0
123,A19021-0,SimOpt_extensive_long_18,1.0
124,A19022-0,SimOpt_int_short_2,1.0
125,A19026-0,SimOpt_extensive_2,1.0
126,A19036-1,SimOpt_extensive_long_0,1.5278785337582435e-16
127,A19036-1,SimOpt_no_management_0,0.9999999999999999
128,A19052-0,SimOpt_extensive_18,1.0
129,A19058-0,SimOpt_extensive_2,1.0
130,A19182-0,SimOpt_extensive_18,1.0
131,A20014-0,SimOpt_extensive_1,1.0
132,A20015-0,SimOpt_extensive_2,1.0
133,A22011-0,SimOpt_no_management_0,1.0
134,A22091-0,SimOpt_extensive_4,1.0
135,A22095-0,SimOpt_no_management_0,1.0
136,A22098-0,SimOpt_extensive_1,1.0
137,A22103-0,SimOpt_extensive_long_0,1.0
138,A22107-0,SimOpt_extensive_9,1.0
139,A22161-0,SimOpt_int_short_0,1.0
140,A22186-0,SimOpt_extensive_0,1.0
141,A22224-0,SimOpt_int_short_0,1.0
142,A22229-0,SimOpt_extensive_9,1.0
143,A23224-1,SimOpt_int_short_0,1.0
144,A23227-0,SimOpt_extensive_5,1.0
145,A23236-0,SimOpt_int_0,1.0
146,A25054-0,SimOpt_int_0,1.0
147,A25193-2,SimOpt_int_short_0,1.0
148,A25195-0,SimOpt_int_short_0,1.0
149,A25205-0,SimOpt_int_0,0.49900267870066883
150,A25205-0,SimOpt_int_short_0,0.5009973212993312
151,A26023-1,SimOpt_extensive_0,1.0
152,A26029-0,SimOpt_extensive_long_0,1.0
153,A26117-2,SimOpt_extensive_1,1.0
154,A26127-0,SimOpt_no_management_0,1.0
155,A26145-0,SimOpt_extensive_0,1.9961958833401193e-16
156,A26145-0,SimOpt_int_0,0.9999999999999999
157,A26156-0,SimOpt_extensive_2,1.0
158,A26171-0,SimOpt_extensive_0,1.0
159,A26171-0,SimOpt_int_0,6.755953023694365e-17
160,A26198-0,SimOpt_int_0,1.0
161,A27119-0,SimOpt_int_0,1.0
162,A27122-0,SimOpt_extensive_2,1.0
163,A27126-0,SimOpt_int_short_0,1.0
164,A27129-0,SimOpt_extensive_2,1.0
165,A27191-0,SimOpt_extensive_2,1.0
166,A27195-0,SimOpt_extensive_long_0,1.0
167,A27235-1,SimOpt_extensive_long_9,1.0
168,A28062-0,SimOpt_multispecies_0,1.0
