,0,1,2
119,A15225-0,SimOpt_extensive_2,1.0
120,A15225-0,SimOpt_multispecies_2,1.0794024925868573e-12
121,A15231-1,SimOpt_extensive_long_0,0.9999999999999999
122,A18032-0,SimOpt_extensive_0,0.9999999999999999
123,A18035-0,SimOpt_extensive_0,3.2390104726652044e-13
124,A18035-0,SimOpt_multispecies_0,1.0
125,A18068-0,SimOpt_int_short_0,9.718971633705627e-13
126,A18068-0,SimOpt_multispecies_0,1.0
127,A18109-0,SimOpt_extensive_0,1.0
128,A18122-0,SimOpt_int_short_9,1.0000000000000002
129,A18211-0,SimOpt_extensive_long_0,1.0
130,A18219-0,SimOpt_extensive_9,7.554920620599343e-12
131,A18219-0,SimOpt_extensive_long_0,1.0
132,A18253-0,SimOpt_int_0,1.0
133,A18256-0,SimOpt_extensive_2,1.0
134,A19021-0,SimOpt_extensive_9,1.0
135,A19022-0,SimOpt_int_0,1.4600639193195722e-12
136,A19022-0,SimOpt_int_short_2,1.0
137,A19026-0,SimOpt_extensive_0,1.500036315158179e-12
138,A19026-0,SimOpt_extensive_2,1.0
139,A19036-1,SimOpt_extensive_0,1.0
140,A19052-0,SimOpt_extensive_long_1,0.9999999999999999
141,A19058-0,SimOpt_extensive_2,1.0
142,A19182-0,SimOpt_extensive_long_18,1.0
143,A20014-0,SimOpt_int_4,6.822259802239726e-13
144,A20014-0,SimOpt_int_short_7,1.0
145,A20015-0,SimOpt_extensive_2,1.0
146,A22011-0,SimOpt_no_management_0,1.0
147,A22091-0,SimOpt_extensive_9,0.9999999999999999
148,A22095-0,SimOpt_extensive_long_0,1.0
149,A22098-0,SimOpt_extensive_1,3.311254946120606e-12
150,A22098-0,SimOpt_extensive_2,0.9999999999999999
151,A22103-0,SimOpt_extensive_long_0,1.0
152,A22107-0,SimOpt_extensive_long_9,1.0
153,A22161-0,SimOpt_int_short_0,7.495787492527348e-13
154,A22161-0,SimOpt_multispecies_0,1.0
155,A22186-0,SimOpt_multispecies_0,1.0
156,A22224-0,SimOpt_int_short_0,1.0
157,A22229-0,SimOpt_extensive_9,1.0
158,A23224-1,SimOpt_int_0,1.107611521042718e-12
159,A23224-1,SimOpt_int_short_0,1.0
160,A23227-0,SimOpt_extensive_5,1.0
