,0,1,2
124,A22161-0,SimOpt_int_short_0,1.0
125,A22186-0,SimOpt_no_management_0,1.0
126,A22224-0,SimOpt_extensive_long_0,0.27172809174666773
127,A22224-0,SimOpt_int_0,0.7282719082533323
128,A22229-0,SimOpt_extensive_16,1.0
129,A23224-1,SimOpt_extensive_long_0,0.15396785190805704
130,A23224-1,SimOpt_no_management_0,0.8460321480919428
131,A23227-0,SimOpt_multispecies_17,1.0
132,A23236-0,SimOpt_extensive_long_0,1.0
133,A25054-0,SimOpt_int_short_0,1.0000000000000002
134,A25193-2,SimOpt_extensive_0,1.5166735931067943e-16
135,A25193-2,SimOpt_int_short_0,0.9999999999999999
136,A25195-0,SimOpt_int_short_0,1.0000000000000002
137,A25205-0,SimOpt_int_0,1.0
138,A26023-1,SimOpt_extensive_long_0,0.9999999999999999
139,A26029-0,SimOpt_no_management_0,1.0
140,A26117-2,SimOpt_extensive_1,1.0
141,A26127-0,SimOpt_no_management_0,0.9999999999999999
142,A26145-0,SimOpt_extensive_long_0,0.9999999999999999
143,A26145-0,SimOpt_int_short_0,1.440922165945016e-16
144,A26156-0,SimOpt_extensive_17,1.0
145,A26171-0,SimOpt_int_short_0,1.0
146,A26198-0,SimOpt_int_short_0,1.0
147,A27119-0,SimOpt_no_management_0,0.9999999999999999
148,A27119-0,SimOpt_int_short_0,1.1925139858145502e-16
149,A27122-0,SimOpt_extensive_long_18,1.0
150,A27126-0,SimOpt_int_short_0,1.0
151,A27129-0,SimOpt_extensive_18,1.0000000000000002
152,A27191-0,SimOpt_no_management_0,1.0
153,A27195-0,SimOpt_no_management_0,1.0
154,A27235-1,SimOpt_extensive_13,1.0
155,A28062-0,SimOpt_no_management_0,1.0
156,A28067-0,SimOpt_extensive_0,1.0
157,A28069-0,SimOpt_no_management_0,1.0
158,A29052-0,SimOpt_extensive_long_17,1.0
159,A29153-0,SimOpt_extensive_0,1.0
160,A30011-0,SimOpt_extensive_2,1.0
161,A30113-0,SimOpt_extensive_3,0.10842688379129456
162,A30113-0,SimOpt_extensive_4,0.8915731162087055
163,A30115-0,SimOpt_extensive_long_18,1.0
164,A30166-0,SimOpt_int_short_0,1.0
165,A30242-1,SimOpt_no_management_0,1.0
166,A31188-0,SimOpt_extensive_long_18,1.0
167,A31255-2,SimOpt_extensive_long_0,1.0
168,A31257-0,SimOpt_extensive_long_0,1.0
169,A31258-0,SimOpt_no_management_0,1.0
170,A32171-0,SimOpt_extensive_0,1.0000000000000002
171,A32172-0,SimOpt_extensive_long_17,1.0
172,A33055-0,SimOpt_extensive_1,1.0
173,A33109-0,SimOpt_extensive_18,1.0
174,A33233-1,SimOpt_no_management_0,1.0
175,A34075-0,SimOpt_extensive_long_18,1.0
176,A34159-0,SimOpt_no_management_0,1.0
177,A34164-0,SimOpt_extensive_long_0,1.0
178,A34173-0,SimOpt_no_management_0,1.0
179,A34181-0,SimOpt_no_management_0,1.0
180,A34202-0,SimOpt_extensive_0,0.9999999999999999
181,A34202-0,SimOpt_int_0,1.1640394461456047e-16
182,A34243-0,SimOpt_no_management_0,1.0
183,A34251-0,SimOpt_extensive_0,1.0
184,A35071-0,SimOpt_no_management_0,1.0
185,A36021-0,SimOpt_int_0,1.0
186,A36119-0,SimOpt_no_management_0,1.0
187,A36123-0,SimOpt_no_management_0,1.0
188,A36163-0,SimOpt_no_management_0,1.0
189,A38012-1,SimOpt_no_management_0,1.0
190,A38066-0,SimOpt_no_management_0,1.0
191,A38155-0,SimOpt_extensive_18,1.0
192,A38156-1,SimOpt_int_short_0,1.0
193,A38179-0,SimOpt_no_management_0,1.0
194,A38194-2,SimOpt_extensive_long_0,0.4616420368826177
195,A38194-2,SimOpt_no_management_0,0.5383579631173823
196,A38246-0,SimOpt_extensive_long_0,1.0
197,A39075-0,SimOpt_extensive_long_16,1.0
198,A39127-0,SimOpt_int_short_0,1.0
199,A39196-0,SimOpt_int_17,1.0
200,A39236-0,SimOpt_no_management_0,1.0
201,A40068-0,SimOpt_int_short_0,1.0
202,A42041-0,SimOpt_extensive_16,1.0
203,A42156-0,SimOpt_ccover_0,1.0
204,A42183-2,SimOpt_no_management_0,1.0
205,A42207-1,SimOpt_int_0,1.8281165984300226e-16
206,A42207-1,SimOpt_int_short_0,0.9999999999999999
207,A43039-0,SimOpt_no_management_0,1.0
208,A43079-1,SimOpt_extensive_long_0,0.9999999999999999
209,A43079-1,SimOpt_no_management_0,2.0226630566659252e-16
210,A43133-0,SimOpt_no_management_0,1.0
211,A43141-0,SimOpt_extensive_17,1.0
212,A43156-0,SimOpt_int_0,0.31703552816454383
213,A43156-0,SimOpt_int_short_0,0.6829644718354563
214,A43163-0,SimOpt_extensive_long_18,1.0
215,A43165-1,SimOpt_extensive_long_0,1.0
216,A43201-0,SimOpt_no_management_0,1.0
217,A43227-1,SimOpt_extensive_0,1.0
218,A43231-1,SimOpt_no_management_0,1.0
219,A43241-0,SimOpt_int_short_0,1.0
220,A43254-0,SimOpt_extensive_long_16,1.0
221,A43256-0,SimOpt_extensive_long_18,1.0
222,A44011-0,SimOpt_multispecies_0,1.0
223,A44127-0,SimOpt_no_management_0,1.0
224,A44161-0,SimOpt_extensive_long_0,1.0
225,A46103-1,SimOpt_int_short_0,1.0
226,A47023-0,SimOpt_extensive_long_16,1.0
227,A47027-1,SimOpt_extensive_0,1.0
228,A47049-0,SimOpt_extensive_2,1.0
229,A47054-1,SimOpt_no_management_0,1.0
230,A47057-0,SimOpt_extensive_long_0,1.0
231,A47058-1,SimOpt_extensive_0,1.0
232,A47088-0,SimOpt_extensive_17,1.0
233,A47096-0,SimOpt_extensive_0,1.0
234,A47133-0,SimOpt_no_management_0,1.0
235,A48115-0,SimOpt_int_short_17,1.0
236,A48228-0,SimOpt_int_short_0,1.0
237,A52023-0,SimOpt_int_0,0.7919144933538979
238,A52023-0,SimOpt_int_short_0,0.208085506646102
239,A52026-0,SimOpt_extensive_17,0.9999999999999998
240,A52031-0,SimOpt_extensive_18,1.0
241,B01044-1,SimOpt_int_0,1.0
242,B01058-0,SimOpt_multispecies_18,0.9999999999999999
243,B01085-2,SimOpt_no_management_0,1.0
244,B01089-0,SimOpt_extensive_long_0,1.0
245,B01101-0,SimOpt_int_0,1.0
246,B01104-0,SimOpt_no_management_0,0.23858426473286348
247,B01104-0,SimOpt_int_short_0,0.7614157352671366
248,B01152-0,SimOpt_int_short_0,1.0
249,B01156-0,SimOpt_no_management_0,1.0
250,B02078-0,SimOpt_extensive_long_0,1.0
251,B02114-0,SimOpt_int_short_0,1.0
252,B02121-0,SimOpt_extensive_long_17,1.0
253,B02163-0,SimOpt_extensive_long_17,1.0
254,B02167-0,SimOpt_extensive_0,0.9999999999999999
255,B02167-0,SimOpt_int_short_0,1.6144831265510595e-16
256,B02175-0,SimOpt_int_1,1.0
257,B02179-0,SimOpt_int_short_0,1.0
258,B02195-0,SimOpt_int_short_0,0.9999999999999999
259,B02201-0,SimOpt_int_0,0.9999999999999999
260,B02201-0,SimOpt_int_short_0,1.270275469403878e-16
261,B02204-0,SimOpt_int_0,1.2435662760910178e-16
262,B02204-0,SimOpt_int_short_0,0.9999999999999999
263,B02207-0,SimOpt_extensive_long_0,1.0
264,B02213-0,SimOpt_int_0,0.455101726855083
265,B02213-0,SimOpt_int_short_0,0.5448982731449171
266,B02226-0,SimOpt_extensive_long_0,0.9999999999999999
267,B02226-0,SimOpt_int_short_0,1.8868240045290724e-16
268,B02251-0,SimOpt_ccover_0,1.0
269,B03164-0,SimOpt_extensive_0,1.0
270,B03167-0,SimOpt_no_management_0,1.0
271,B03168-1,SimOpt_extensive_long_17,1.0
272,B05092-0,SimOpt_extensive_long_16,1.0
273,B05094-0,SimOpt_extensive_long_0,1.0
274,B05102-0,SimOpt_extensive_0,0.9999999999999999
275,B05102-0,SimOpt_int_short_0,1.3441516085792066e-16
276,B05107-0,SimOpt_no_management_0,1.0
277,B05149-0,SimOpt_extensive_long_16,1.0000000000000002
278,B05193-0,SimOpt_extensive_long_16,1.0
279,B06022-1,SimOpt_int_short_0,1.0
280,B06022-2,SimOpt_extensive_1,1.0
281,B06042-1,SimOpt_extensive_0,1.0
282,B06063-0,SimOpt_extensive_long_2,1.0
283,B06065-0,SimOpt_int_0,1.0
284,B06073-0,SimOpt_extensive_0,1.0
285,B06091-0,SimOpt_extensive_long_0,1.0
286,B06093-1,SimOpt_extensive_0,1.0
287,B06112-0,SimOpt_int_0,1.0
288,B06122-0,SimOpt_int_0,1.0
289,B06124-0,SimOpt_extensive_long_18,1.0000000000000002
290,B06125-0,SimOpt_extensive_0,1.0
291,B06127-0,SimOpt_int_short_0,1.0
292,B06139-0,SimOpt_extensive_16,1.0
293,B06148-0,SimOpt_extensive_1,0.09188958101832376
294,B06148-0,SimOpt_extensive_10,0.9081104189816762
295,B06178-0,SimOpt_int_short_0,1.0
296,B06192-0,SimOpt_extensive_0,1.0000000000000002
297,B06228-0,SimOpt_int_0,0.9999999999999999
298,B06252-0,SimOpt_no_management_0,1.0
299,B06253-0,SimOpt_ccover_0,1.0
300,B06256-0,SimOpt_no_management_0,1.0
301,B07015-0,SimOpt_extensive_long_18,1.0000000000000002
302,B07016-0,SimOpt_ccover_0,1.0
303,B07073-0,SimOpt_extensive_2,1.0
304,B07074-0,SimOpt_extensive_long_0,1.0
305,B07084-0,SimOpt_multispecies_0,1.0
306,B07089-0,SimOpt_extensive_long_0,0.0998927754242367
307,B07089-0,SimOpt_int_0,0.9001072245757633
308,B07111-0,SimOpt_int_short_0,1.0
309,B07131-0,SimOpt_int_short_0,1.0
310,B07141-0,SimOpt_extensive_long_0,1.0
311,B07146-0,SimOpt_no_management_0,1.0
312,B07163-1,SimOpt_int_0,1.0
313,B07177-0,SimOpt_no_management_0,0.15639752157842374
314,B07177-0,SimOpt_int_short_0,0.8436024784215763
315,B07226-1,SimOpt_int_short_0,1.0
316,B07244-0,SimOpt_int_0,1.0
317,B07254-0,SimOpt_int_0,1.0
318,B09255-0,SimOpt_extensive_10,1.0000000000000002
319,B09259-0,SimOpt_extensive_16,1.0
320,B10015-0,SimOpt_extensive_long_18,1.0
321,B10022-1,SimOpt_extensive_0,1.0
322,B10041-0,SimOpt_int_short_0,0.9999999999999999
323,B10041-0,SimOpt_multispecies_0,2.0865180870776404e-16
324,B10056-0,SimOpt_extensive_long_0,1.0
325,B10062-0,SimOpt_ccover_1,1.0
326,B10087-0,SimOpt_extensive_13,1.0
327,B10091-0,SimOpt_extensive_17,1.0
328,B10115-0,SimOpt_extensive_long_16,1.0
329,B10139-0,SimOpt_extensive_18,1.0
330,B10251-0,SimOpt_multispecies_17,1.0
331,B11068-2,SimOpt_int_0,1.0
332,B11082-0,SimOpt_int_0,1.0
333,B11125-0,SimOpt_extensive_2,0.9999999999999999
334,B11125-0,SimOpt_extensive_long_2,1.5192288862216887e-16
335,B11186-0,SimOpt_int_short_0,1.0
336,B11212-0,SimOpt_int_0,0.9999999999999998
337,B11213-1,SimOpt_int_short_0,1.0
338,B11252-0,SimOpt_int_short_0,1.0
339,B11257-0,SimOpt_extensive_0,1.0
340,B11258-0,SimOpt_extensive_0,1.0
341,B12017-0,SimOpt_int_short_0,1.0
342,B12065-0,SimOpt_int_0,1.0
343,B12071-0,SimOpt_int_short_0,1.0
344,B12075-0,SimOpt_extensive_0,1.0
345,B12087-0,SimOpt_extensive_long_0,1.0
346,B12115-0,SimOpt_extensive_0,1.0
347,B12128-0,SimOpt_extensive_1,1.0
348,B12169-2,SimOpt_int_0,1.0
349,B12177-0,SimOpt_int_short_0,1.0
350,B12219-0,SimOpt_int_0,1.0
351,B13141-0,SimOpt_extensive_long_18,1.0000000000000002
352,B13143-0,SimOpt_extensive_17,1.0
353,B13157-0,SimOpt_extensive_18,1.0
354,B14045-0,SimOpt_int_short_0,1.0
355,B14082-0,SimOpt_ccover_0,1.0
356,B14132-0,SimOpt_multispecies_16,1.8586322158906468e-16
357,B14132-0,SimOpt_ccover_2,0.9999999999999999
358,B14133-0,SimOpt_extensive_long_13,1.0
359,B14142-0,SimOpt_int_0,1.0
360,B14151-0,SimOpt_extensive_long_0,1.0
361,B14176-0,SimOpt_extensive_long_0,1.0
362,B14183-0,SimOpt_extensive_0,1.0
363,B14199-0,SimOpt_extensive_0,1.0
364,B14204-0,SimOpt_int_short_0,1.0
365,B14223-0,SimOpt_no_management_0,1.0
366,B14236-0,SimOpt_extensive_16,1.0
367,B14253-0,SimOpt_extensive_0,1.0
368,B15014-0,SimOpt_extensive_1,1.0
369,B15032-0,SimOpt_ccover_0,1.0
370,B15039-0,SimOpt_extensive_long_16,1.0
371,B15052-1,SimOpt_int_short_0,1.0
372,B15055-0,SimOpt_int_short_0,0.4789568206107879
373,B15055-0,SimOpt_multispecies_0,0.5210431793892121
374,B15069-1,SimOpt_int_0,1.0
375,B15074-0,SimOpt_int_short_0,1.0
376,B15089-1,SimOpt_extensive_long_18,1.0
377,B15116-0,SimOpt_no_management_0,1.0
378,B15127-0,SimOpt_extensive_long_0,1.0
379,B15149-0,SimOpt_extensive_long_0,1.5731091531535922e-16
380,B15149-0,SimOpt_no_management_0,0.9999999999999999
381,B15192-0,SimOpt_extensive_long_16,1.0
382,B15203-0,SimOpt_extensive_2,1.0
383,B16013-0,SimOpt_no_management_0,1.0
384,B16021-0,SimOpt_int_0,1.0
385,B16069-0,SimOpt_extensive_16,1.0
386,B16079-0,SimOpt_int_0,1.0
387,B16116-0,SimOpt_extensive_long_0,0.6969499535281031
388,B16116-0,SimOpt_no_management_0,0.3030500464718969
389,B16118-0,SimOpt_ccover_0,1.0
390,B16162-0,SimOpt_extensive_long_0,1.0
391,B16164-0,SimOpt_int_0,1.0
392,B16217-0,SimOpt_int_0,0.3204234215359265
393,B16217-0,SimOpt_ccover_0,0.6795765784640736
394,B16227-0,SimOpt_extensive_0,1.0
395,B17104-0,SimOpt_no_management_0,1.0
396,B17153-0,SimOpt_no_management_0,1.0
397,B18035-0,SimOpt_int_0,1.0
398,B19041-0,SimOpt_extensive_long_0,1.3011436180590368e-16
399,B19041-0,SimOpt_no_management_0,0.9999999999999999
400,B19042-1,SimOpt_extensive_0,1.0
401,B19104-0,SimOpt_extensive_long_0,1.0
402,B19202-0,SimOpt_extensive_long_0,0.9999999999999999
403,B19202-0,SimOpt_int_0,1.5580587955272702e-16
404,B19204-2,SimOpt_ccover_0,1.0
405,B19237-0,SimOpt_ccover_2,1.0
406,B20014-0,SimOpt_int_short_0,1.0
407,B20169-0,SimOpt_extensive_long_0,1.0
408,B20212-0,SimOpt_multispecies_0,1.0
409,B20215-0,SimOpt_extensive_0,1.0
410,B20222-0,SimOpt_extensive_13,0.9299882877933194
411,B20222-0,SimOpt_no_management_0,0.07001171220668062
